first_name,middle_name,last_name,state,district,party,next_election,id,api_uri,domain,url,facebook_account,facebook_id,twitter_account,google_entity_id,rss_url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,dw_nominate,seniority,ideal_point
Jeff,null,Flake,AZ,null,R,2018,F000444,https://api.propublica.org/congress/v1/members/F000444.json,flake.senate.gov,http://www.flake.senate.gov/public,senatorjeffflake,null,JeffFlake,/m/024p7j,http://www.flake.senate.gov/public/?a=rss.feed,64,1,1.56,0,93.65,null,5,null
Al,null,Franken,MN,null,D,2020,F000457,https://api.propublica.org/congress/v1/members/F000457.json,null,https://www.franken.senate.gov,senatoralfranken,945480788871137,SenFranken,/m/01lct6,https://www.franken.senate.gov/rss/,64,0,0.00,0,96.88,null,9,null
Deb,null,Fischer,NE,null,R,2018,F000463,https://api.propublica.org/congress/v1/members/F000463.json,fischer.senate.gov,http://www.fischer.senate.gov,senatordebfischer,531623656856934,SenatorFischer,/m/0c4cp0,null,64,0,0.00,0,96.88,null,5,null
Lindsey,null,Graham,SC,null,R,2020,G000359,https://api.propublica.org/congress/v1/members/G000359.json,null,https://www.lgraham.senate.gov/public,USSenatorLindseyGraham,257937783228,GrahamBlog,/m/01_pdg,http://www.lgraham.senate.gov/public/?a=rss.feed,64,3,4.69,0,96.72,null,15,null
Charles,E.,Grassley,IA,null,R,2022,G000386,https://api.propublica.org/congress/v1/members/G000386.json,null,http://www.grassley.senate.gov,grassley,106480645796,ChuckGrassley,/m/020ymy,http://www.grassley.senate.gov/?q=rss.xml,64,0,0.00,0,92.19,null,37,null
Kirsten,E.,Gillibrand,NY,null,D,2018,G000555,https://api.propublica.org/congress/v1/members/G000555.json,www.gillibrand.senate.gov,https://www.gillibrand.senate.gov,KirstenGillibrand,null,SenGillibrand,/m/0gnfc4,null,64,0,0.00,0,89.06,null,9,null
Cory,null,Gardner,CO,null,R,2020,G000562,https://api.propublica.org/congress/v1/members/G000562.json,www.gardner.senate.gov,https://www.gardner.senate.gov,SenCoryGardner,160924893954206,SenCoryGardner,/m/0czd33q,null,64,0,0.00,0,96.88,null,3,null
Orrin,G.,Hatch,UT,null,R,2018,H000338,https://api.propublica.org/congress/v1/members/H000338.json,www.hatch.senate.gov,http://www.hatch.senate.gov,senatororrinhatch,null,SenOrrinHatch,/m/016mj4,http://www.hatch.senate.gov/public/index.cfm/rss/feed,64,0,0.00,0,93.75,null,41,null
Dean,null,Heller,NV,null,R,2018,H001041,https://api.propublica.org/congress/v1/members/H001041.json,www.heller.senate.gov,http://www.heller.senate.gov/public,SenDeanHeller,325751330177,SenDeanHeller,/m/0g92xz,null,64,0,0.00,0,82.81,null,7,null
Mazie,K.,Hirono,HI,null,D,2018,H001042,https://api.propublica.org/congress/v1/members/H001042.json,hirono.senate.gov,https://www.hirono.senate.gov,senatorhirono,null,MazieHirono,/m/0357cd,https://www.hirono.senate.gov/rss/feeds/,64,0,0.00,0,96.88,null,5,null
Martin,null,Heinrich,NM,null,D,2018,H001046,https://api.propublica.org/congress/v1/members/H001046.json,www.heinrich.senate.gov,http://www.heinrich.senate.gov,MartinHeinrich,137523189213,MartinHeinrich,/m/02qkv0r,null,64,1,1.56,0,92.06,null,5,null
John,null,Hoeven,ND,null,R,2022,H001061,https://api.propublica.org/congress/v1/members/H001061.json,www.hoeven.senate.gov,https://www.hoeven.senate.gov,SenatorJohnHoeven,194483057244478,SenJohnHoeven,/m/01qb45,null,64,0,0.00,0,96.88,null,7,null
Heidi,null,Heitkamp,ND,null,D,2018,H001069,https://api.propublica.org/congress/v1/members/H001069.json,www.heitkamp.senate.gov,http://www.heitkamp.senate.gov/public,SenatorHeidiHeitkamp,501810613175643,SenatorHeitkamp,/m/02f501,null,64,0,0.00,0,81.25,null,5,null
Kamala,null,Harris,CA,null,D,2022,H001075,https://api.propublica.org/congress/v1/members/H001075.json,www.harris.senate.gov,https://www.harris.senate.gov,null,null,null,/m/08sry2,null,64,0,0.00,0,95.31,null,1,null
Margaret,null,Hassan,NH,null,D,2022,H001076,https://api.propublica.org/congress/v1/members/H001076.json,null,https://www.hassan.senate.gov,SenatorHassan,null,Senatorhassan,null,null,64,0,0.00,0,95.31,null,1,null
James,M.,Inhofe,OK,null,R,2020,I000024,https://api.propublica.org/congress/v1/members/I000024.json,www.inhofe.senate.gov,http://www.inhofe.senate.gov,jiminhofe,55018309421,InhofePress,/m/021kpl,null,64,0,0.00,0,96.88,null,25,null
Johnny,null,Isakson,GA,null,R,2022,I000055,https://api.propublica.org/congress/v1/members/I000055.json,null,http://www.isakson.senate.gov,null,null,SenatorIsakson,/m/02556q,http://www.isakson.senate.gov/public/?a=RSS.Feed,64,3,4.69,0,95.08,null,13,null
Ron,null,Johnson,WI,null,R,2022,J000293,https://api.propublica.org/congress/v1/members/J000293.json,www.ronjohnson.senate.gov,https://www.ronjohnson.senate.gov,senronjohnson,186181661410703,SenRonJohnson,/m/0cmdpzc,null,64,0,0.00,0,96.88,null,7,null
Amy,null,Klobuchar,MN,null,D,2018,K000367,https://api.propublica.org/congress/v1/members/K000367.json,www.klobuchar.senate.gov,http://www.klobuchar.senate.gov,null,null,null,/m/05fbpt,null,64,0,0.00,0,95.31,null,11,null
Angus,null,King,ME,null,I,2018,K000383,https://api.propublica.org/congress/v1/members/K000383.json,king.senate.gov,http://www.king.senate.gov,SenatorAngusSKingJr,142803045874943,SenAngusKing,/m/02hfx0,http://www.king.senate.gov/rss/feeds/?type=all,62,0,0.00,0,87.10,null,5,null
Tim,null,Kaine,VA,null,D,2018,K000384,https://api.propublica.org/congress/v1/members/K000384.json,kaine.senate.gov,http://www.kaine.senate.gov,SenatorKaine,482778861771212,SenKaineOffice,/m/053f8h,http://www.kaine.senate.gov/rss/feeds/,64,1,1.56,0,95.24,null,5,null
John,null,Kennedy,LA,null,R,2022,K000393,https://api.propublica.org/congress/v1/members/K000393.json,null,https://www.kennedy.senate.gov,JohnKennedyLouisiana,null,SenJohnKennedy,null,null,64,0,0.00,0,92.19,null,1,null
Patrick,J.,Leahy,VT,null,D,2022,L000174,https://api.propublica.org/congress/v1/members/L000174.json,www.leahy.senate.gov,https://www.leahy.senate.gov,SenatorPatrickLeahy,178569152181267,SenatorLeahy,/m/0202kf,null,64,0,0.00,0,95.31,null,43,null
